"n","tau","kappa","estimator","delta","power","false_acceptance","successful_power_evaluations","failed_power_evaluations"
1000,0.1,0.5,"DML-IVQR-BC",1,0.336,0.664,500,0
1000,0.1,0.25,"Oracle-GMM",-1,0.526,0.474,500,0
1000,0.1,0.25,"Oracle-GMM",-0.5,0.342,0.658,500,0
1000,0.1,0.25,"Oracle-GMM",-0.25,0.154,0.846,500,0
1000,0.1,0.25,"Oracle-GMM",0.25,0.078,0.922,500,0
1000,0.1,0.25,"Oracle-GMM",0.5,0.11,0.89,500,0
1000,0.1,0.25,"Oracle-GMM",1,0.194,0.806,500,0
1000,0.1,0.25,"Full-GMM",-1,0.392,0.608,500,0
1000,0.1,0.25,"Full-GMM",-0.5,0.23,0.77,500,0
1000,0.1,0.25,"Full-GMM",-0.25,0.144,0.856,500,0
1000,0.1,0.25,"Full-GMM",0.25,0.044,0.956,500,0
1000,0.1,0.25,"Full-GMM",0.5,0.05,0.95,500,0
1000,0.1,0.25,"Full-GMM",1,0.096,0.904,500,0
1000,0.1,0.25,"DML-IVQR-BC",-1,0.608,0.392,500,0
1000,0.1,0.25,"DML-IVQR-BC",-0.5,0.306,0.694,500,0
1000,0.1,0.25,"DML-IVQR-BC",-0.25,0.098,0.902,500,0
1000,0.1,0.25,"DML-IVQR-BC",0.25,0.028,0.972,500,0
1000,0.1,0.25,"DML-IVQR-BC",0.5,0.036,0.964,500,0
1000,0.1,0.25,"DML-IVQR-BC",1,0.058,0.942,500,0
1000,0.1,0.1,"Oracle-GMM",-1,0.132,0.868,500,0
1000,0.1,0.1,"Oracle-GMM",-0.5,0.104,0.896,500,0
1000,0.1,0.1,"Oracle-GMM",-0.25,0.078,0.922,500,0
1000,0.1,0.1,"Oracle-GMM",0.25,0.056,0.944,500,0
1000,0.1,0.1,"Oracle-GMM",0.5,0.058,0.942,500,0
1000,0.1,0.1,"Oracle-GMM",1,0.052,0.948,500,0
1000,0.1,0.1,"Full-GMM",-1,0.096,0.904,500,0
1000,0.1,0.1,"Full-GMM",-0.5,0.08,0.92,500,0
1000,0.1,0.1,"Full-GMM",-0.25,0.054,0.946,500,0
1000,0.1,0.1,"Full-GMM",0.25,0.056,0.944,500,0
1000,0.1,0.1,"Full-GMM",0.5,0.05,0.95,500,0
1000,0.1,0.1,"Full-GMM",1,0.046,0.954,500,0
1000,0.1,0.1,"DML-IVQR-BC",-1,0.242,0.758,500,0
1000,0.1,0.1,"DML-IVQR-BC",-0.5,0.118,0.882,500,0
1000,0.1,0.1,"DML-IVQR-BC",-0.25,0.076,0.924,500,0
1000,0.1,0.1,"DML-IVQR-BC",0.25,0.038,0.962,500,0
1000,0.1,0.1,"DML-IVQR-BC",0.5,0.022,0.978,500,0
1000,0.1,0.1,"DML-IVQR-BC",1,0.024,0.976,500,0
1000,0.25,1,"Oracle-GMM",-1,1,0,500,0
1000,0.25,1,"Oracle-GMM",-0.5,1,0,500,0
1000,0.25,1,"Oracle-GMM",-0.25,0.98,0.02,500,0
1000,0.25,1,"Oracle-GMM",0.25,0.898,0.102,500,0
1000,0.25,1,"Oracle-GMM",0.5,1,0,500,0
1000,0.25,1,"Oracle-GMM",1,1,0,500,0
1000,0.25,1,"Full-GMM",-1,1,0,500,0
1000,0.25,1,"Full-GMM",-0.5,0.998,0.002,500,0
1000,0.25,1,"Full-GMM",-0.25,0.904,0.096,500,0
1000,0.25,1,"Full-GMM",0.25,0.282,0.718,500,0
1000,0.25,1,"Full-GMM",0.5,0.894,0.106,500,0
1000,0.25,1,"Full-GMM",1,1,0,500,0
1000,0.25,1,"DML-IVQR-BC",-1,1,0,500,0
1000,0.25,1,"DML-IVQR-BC",-0.5,1,0,500,0
1000,0.25,1,"DML-IVQR-BC",-0.25,0.746,0.254,500,0
1000,0.25,1,"DML-IVQR-BC",0.25,0.838,0.162,500,0
1000,0.25,1,"DML-IVQR-BC",0.5,0.996,0.004,500,0
1000,0.25,1,"DML-IVQR-BC",1,1,0,500,0
1000,0.25,0.5,"Oracle-GMM",-1,0.998,0.002,500,0
1000,0.25,0.5,"Oracle-GMM",-0.5,0.902,0.098,500,0
1000,0.25,0.5,"Oracle-GMM",-0.25,0.542,0.458,500,0
1000,0.25,0.5,"Oracle-GMM",0.25,0.318,0.682,500,0
1000,0.25,0.5,"Oracle-GMM",0.5,0.758,0.242,500,0
1000,0.25,0.5,"Oracle-GMM",1,0.968,0.032,500,0
1000,0.25,0.5,"Full-GMM",-1,0.986,0.014,500,0
1000,0.25,0.5,"Full-GMM",-0.5,0.782,0.218,500,0
1000,0.25,0.5,"Full-GMM",-0.25,0.418,0.582,500,0
1000,0.25,0.5,"Full-GMM",0.25,0.082,0.918,500,0
1000,0.25,0.5,"Full-GMM",0.5,0.35,0.65,500,0
1000,0.25,0.5,"Full-GMM",1,0.824,0.176,500,0
1000,0.25,0.5,"DML-IVQR-BC",-1,0.998,0.002,500,0
1000,0.25,0.5,"DML-IVQR-BC",-0.5,0.832,0.168,500,0
1000,0.25,0.5,"DML-IVQR-BC",-0.25,0.31,0.69,500,0
1000,0.25,0.5,"DML-IVQR-BC",0.25,0.262,0.738,500,0
1000,0.25,0.5,"DML-IVQR-BC",0.5,0.556,0.444,500,0
1000,0.25,0.5,"DML-IVQR-BC",1,0.848,0.152,500,0
1000,0.25,0.25,"Oracle-GMM",-1,0.61,0.39,500,0
1000,0.25,0.25,"Oracle-GMM",-0.5,0.386,0.614,500,0
1000,0.25,0.25,"Oracle-GMM",-0.25,0.188,0.812,500,0
1000,0.25,0.25,"Oracle-GMM",0.25,0.124,0.876,500,0
1000,0.25,0.25,"Oracle-GMM",0.5,0.224,0.776,500,0
1000,0.25,0.25,"Oracle-GMM",1,0.416,0.584,500,0
1000,0.25,0.25,"Full-GMM",-1,0.512,0.488,500,0
1000,0.25,0.25,"Full-GMM",-0.5,0.322,0.678,500,0
1000,0.25,0.25,"Full-GMM",-0.25,0.128,0.872,500,0
1000,0.25,0.25,"Full-GMM",0.25,0.052,0.948,500,0
1000,0.25,0.25,"Full-GMM",0.5,0.112,0.888,500,0
1000,0.25,0.25,"Full-GMM",1,0.308,0.692,500,0
1000,0.25,0.25,"DML-IVQR-BC",-1,0.688,0.312,500,0
1000,0.25,0.25,"DML-IVQR-BC",-0.5,0.362,0.638,500,0
1000,0.25,0.25,"DML-IVQR-BC",-0.25,0.156,0.844,500,0
1000,0.25,0.25,"DML-IVQR-BC",0.25,0.084,0.916,500,0
1000,0.25,0.25,"DML-IVQR-BC",0.5,0.136,0.864,500,0
1000,0.25,0.25,"DML-IVQR-BC",1,0.26,0.74,500,0
1000,0.25,0.1,"Oracle-GMM",-1,0.17,0.83,500,0
1000,0.25,0.1,"Oracle-GMM",-0.5,0.106,0.894,500,0
1000,0.25,0.1,"Oracle-GMM",-0.25,0.086,0.914,500,0
1000,0.25,0.1,"Oracle-GMM",0.25,0.064,0.936,500,0
1000,0.25,0.1,"Oracle-GMM",0.5,0.086,0.914,500,0
1000,0.25,0.1,"Oracle-GMM",1,0.094,0.906,500,0
1000,0.25,0.1,"Full-GMM",-1,0.126,0.874,500,0
1000,0.25,0.1,"Full-GMM",-0.5,0.088,0.912,500,0
1000,0.25,0.1,"Full-GMM",-0.25,0.056,0.944,500,0
1000,0.25,0.1,"Full-GMM",0.25,0.052,0.948,500,0
1000,0.25,0.1,"Full-GMM",0.5,0.066,0.934,500,0
1000,0.25,0.1,"Full-GMM",1,0.096,0.904,500,0
1000,0.25,0.1,"DML-IVQR-BC",-1,0.22,0.78,500,0
1000,0.25,0.1,"DML-IVQR-BC",-0.5,0.12,0.88,500,0
1000,0.25,0.1,"DML-IVQR-BC",-0.25,0.09,0.91,500,0
1000,0.25,0.1,"DML-IVQR-BC",0.25,0.044,0.956,500,0
1000,0.25,0.1,"DML-IVQR-BC",0.5,0.06,0.94,500,0
1000,0.25,0.1,"DML-IVQR-BC",1,0.056,0.944,500,0
1000,0.5,1,"Oracle-GMM",-1,1,0,500,0
1000,0.5,1,"Oracle-GMM",-0.5,1,0,500,0
1000,0.5,1,"Oracle-GMM",-0.25,0.948,0.052,500,0
1000,0.5,1,"Oracle-GMM",0.25,0.98,0.02,500,0
1000,0.5,1,"Oracle-GMM",0.5,1,0,500,0
1000,0.5,1,"Oracle-GMM",1,1,0,500,0
1000,0.5,1,"Full-GMM",-1,1,0,500,0
1000,0.5,1,"Full-GMM",-0.5,0.998,0.002,500,0
1000,0.5,1,"Full-GMM",-0.25,0.692,0.308,500,0
1000,0.5,1,"Full-GMM",0.25,0.754,0.246,500,0
1000,0.5,1,"Full-GMM",0.5,0.998,0.002,500,0
1000,0.5,1,"Full-GMM",1,1,0,500,0
1000,0.5,1,"DML-IVQR-BC",-1,1,0,500,0
1000,0.5,1,"DML-IVQR-BC",-0.5,1,0,500,0
1000,0.5,1,"DML-IVQR-BC",-0.25,0.774,0.226,500,0
1000,0.5,1,"DML-IVQR-BC",0.25,0.988,0.012,500,0
1000,0.5,1,"DML-IVQR-BC",0.5,1,0,500,0
1000,0.5,1,"DML-IVQR-BC",1,1,0,500,0
1000,0.5,0.5,"Oracle-GMM",-1,0.986,0.014,500,0
1000,0.5,0.5,"Oracle-GMM",-0.5,0.85,0.15,500,0
1000,0.5,0.5,"Oracle-GMM",-0.25,0.426,0.574,500,0
1000,0.5,0.5,"Oracle-GMM",0.25,0.54,0.46,500,0
1000,0.5,0.5,"Oracle-GMM",0.5,0.94,0.06,500,0
1000,0.5,0.5,"Oracle-GMM",1,1,0,500,0
1000,0.5,0.5,"Full-GMM",-1,0.952,0.048,500,0
1000,0.5,0.5,"Full-GMM",-0.5,0.634,0.366,500,0
1000,0.5,0.5,"Full-GMM",-0.25,0.242,0.758,500,0
1000,0.5,0.5,"Full-GMM",0.25,0.298,0.702,500,0
1000,0.5,0.5,"Full-GMM",0.5,0.726,0.274,500,0
1000,0.5,0.5,"Full-GMM",1,0.988,0.012,500,0
1000,0.5,0.5,"DML-IVQR-BC",-1,0.994,0.006,500,0
1000,0.5,0.5,"DML-IVQR-BC",-0.5,0.802,0.198,500,0
1000,0.5,0.5,"DML-IVQR-BC",-0.25,0.284,0.716,500,0
1000,0.5,0.5,"DML-IVQR-BC",0.25,0.494,0.506,500,0
1000,0.5,0.5,"DML-IVQR-BC",0.5,0.852,0.148,500,0
1000,0.5,0.5,"DML-IVQR-BC",1,0.994,0.006,500,0
1000,0.5,0.25,"Oracle-GMM",-1,0.54,0.46,500,0
1000,0.5,0.25,"Oracle-GMM",-0.5,0.316,0.684,500,0
1000,0.5,0.25,"Oracle-GMM",-0.25,0.124,0.876,500,0
1000,0.5,0.25,"Oracle-GMM",0.25,0.19,0.81,500,0
1000,0.5,0.25,"Oracle-GMM",0.5,0.378,0.622,500,0
1000,0.5,0.25,"Oracle-GMM",1,0.626,0.374,500,0
1000,0.5,0.25,"Full-GMM",-1,0.43,0.57,500,0
1000,0.5,0.25,"Full-GMM",-0.5,0.212,0.788,500,0
1000,0.5,0.25,"Full-GMM",-0.25,0.092,0.908,500,0
1000,0.5,0.25,"Full-GMM",0.25,0.102,0.898,500,0
1000,0.5,0.25,"Full-GMM",0.5,0.238,0.762,500,0
1000,0.5,0.25,"Full-GMM",1,0.524,0.476,500,0
1000,0.5,0.25,"DML-IVQR-BC",-1,0.632,0.368,500,0
1000,0.5,0.25,"DML-IVQR-BC",-0.5,0.312,0.688,500,0
1000,0.5,0.25,"DML-IVQR-BC",-0.25,0.108,0.892,500,0
1000,0.5,0.25,"DML-IVQR-BC",0.25,0.152,0.848,500,0
1000,0.5,0.25,"DML-IVQR-BC",0.5,0.286,0.714,500,0
1000,0.5,0.25,"DML-IVQR-BC",1,0.486,0.514,500,0
1000,0.5,0.1,"Oracle-GMM",-1,0.12,0.88,500,0
1000,0.5,0.1,"Oracle-GMM",-0.5,0.082,0.918,500,0
1000,0.5,0.1,"Oracle-GMM",-0.25,0.064,0.936,500,0
1000,0.5,0.1,"Oracle-GMM",0.25,0.084,0.916,500,0
1000,0.5,0.1,"Oracle-GMM",0.5,0.092,0.908,500,0
1000,0.5,0.1,"Oracle-GMM",1,0.138,0.862,500,0
1000,0.5,0.1,"Full-GMM",-1,0.112,0.888,500,0
1000,0.5,0.1,"Full-GMM",-0.5,0.076,0.924,500,0
1000,0.5,0.1,"Full-GMM",-0.25,0.054,0.946,500,0
1000,0.5,0.1,"Full-GMM",0.25,0.066,0.934,500,0
1000,0.5,0.1,"Full-GMM",0.5,0.098,0.902,500,0
1000,0.5,0.1,"Full-GMM",1,0.16,0.84,500,0
1000,0.5,0.1,"DML-IVQR-BC",-1,0.154,0.846,500,0
1000,0.5,0.1,"DML-IVQR-BC",-0.5,0.104,0.896,500,0
1000,0.5,0.1,"DML-IVQR-BC",-0.25,0.06,0.94,500,0
1000,0.5,0.1,"DML-IVQR-BC",0.25,0.07,0.93,500,0
1000,0.5,0.1,"DML-IVQR-BC",0.5,0.094,0.906,500,0
1000,0.5,0.1,"DML-IVQR-BC",1,0.08,0.92,500,0
1000,0.75,1,"Oracle-GMM",-1,1,0,500,0
1000,0.75,1,"Oracle-GMM",-0.5,0.994,0.006,500,0
1000,0.75,1,"Oracle-GMM",-0.25,0.746,0.254,500,0
1000,0.75,1,"Oracle-GMM",0.25,0.976,0.024,500,0
1000,0.75,1,"Oracle-GMM",0.5,1,0,500,0
1000,0.75,1,"Oracle-GMM",1,1,0,500,0
1000,0.75,1,"Full-GMM",-1,1,0,500,0
1000,0.75,1,"Full-GMM",-0.5,0.76,0.24,500,0
1000,0.75,1,"Full-GMM",-0.25,0.162,0.838,500,0
1000,0.75,1,"Full-GMM",0.25,0.906,0.094,500,0
1000,0.75,1,"Full-GMM",0.5,1,0,500,0
1000,0.75,1,"Full-GMM",1,1,0,500,0
1000,0.75,1,"DML-IVQR-BC",-1,1,0,500,0
1000,0.75,1,"DML-IVQR-BC",-0.5,0.984,0.016,500,0
1000,0.75,1,"DML-IVQR-BC",-0.25,0.51,0.49,500,0
1000,0.75,1,"DML-IVQR-BC",0.25,0.996,0.004,500,0
1000,0.75,1,"DML-IVQR-BC",0.5,1,0,500,0
1000,0.75,1,"DML-IVQR-BC",1,1,0,500,0
1000,0.75,0.5,"Oracle-GMM",-1,0.828,0.172,500,0
1000,0.75,0.5,"Oracle-GMM",-0.5,0.526,0.474,500,0
1000,0.75,0.5,"Oracle-GMM",-0.25,0.26,0.74,500,0
1000,0.75,0.5,"Oracle-GMM",0.25,0.554,0.446,500,0
1000,0.75,0.5,"Oracle-GMM",0.5,0.95,0.05,500,0
1000,0.75,0.5,"Oracle-GMM",1,1,0,500,0
1000,0.75,0.5,"Full-GMM",-1,0.654,0.346,500,0
1000,0.75,0.5,"Full-GMM",-0.5,0.23,0.77,500,0
1000,0.75,0.5,"Full-GMM",-0.25,0.078,0.922,500,0
1000,0.75,0.5,"Full-GMM",0.25,0.414,0.586,500,0
1000,0.75,0.5,"Full-GMM",0.5,0.786,0.214,500,0
1000,0.75,0.5,"Full-GMM",1,0.996,0.004,500,0
1000,0.75,0.5,"DML-IVQR-BC",-1,0.906,0.094,500,0
1000,0.75,0.5,"DML-IVQR-BC",-0.5,0.546,0.454,500,0
1000,0.75,0.5,"DML-IVQR-BC",-0.25,0.184,0.816,500,0
1000,0.75,0.5,"DML-IVQR-BC",0.25,0.64,0.36,500,0
1000,0.75,0.5,"DML-IVQR-BC",0.5,0.958,0.042,500,0
1000,0.75,0.5,"DML-IVQR-BC",1,0.998,0.002,500,0
1000,0.75,0.25,"Oracle-GMM",-1,0.286,0.714,500,0
1000,0.75,0.25,"Oracle-GMM",-0.5,0.154,0.846,500,0
1000,0.75,0.25,"Oracle-GMM",-0.25,0.084,0.916,500,0
1000,0.75,0.25,"Oracle-GMM",0.25,0.22,0.78,500,0
1000,0.75,0.25,"Oracle-GMM",0.5,0.418,0.582,500,0
1000,0.75,0.25,"Oracle-GMM",1,0.712,0.288,500,0
1000,0.75,0.25,"Full-GMM",-1,0.192,0.808,500,0
1000,0.75,0.25,"Full-GMM",-0.5,0.084,0.916,500,0
1000,0.75,0.25,"Full-GMM",-0.25,0.04,0.96,500,0
1000,0.75,0.25,"Full-GMM",0.25,0.152,0.848,500,0
1000,0.75,0.25,"Full-GMM",0.5,0.292,0.708,500,0
1000,0.75,0.25,"Full-GMM",1,0.548,0.452,500,0
1000,0.75,0.25,"DML-IVQR-BC",-1,0.398,0.602,500,0
1000,0.75,0.25,"DML-IVQR-BC",-0.5,0.194,0.806,500,0
1000,0.75,0.25,"DML-IVQR-BC",-0.25,0.1,0.9,500,0
1000,0.75,0.25,"DML-IVQR-BC",0.25,0.212,0.788,500,0
1000,0.75,0.25,"DML-IVQR-BC",0.5,0.384,0.616,500,0
1000,0.75,0.25,"DML-IVQR-BC",1,0.61,0.39,500,0
1000,0.75,0.1,"Oracle-GMM",-1,0.088,0.912,500,0
1000,0.75,0.1,"Oracle-GMM",-0.5,0.054,0.946,500,0
1000,0.75,0.1,"Oracle-GMM",-0.25,0.046,0.954,500,0
1000,0.75,0.1,"Oracle-GMM",0.25,0.07,0.93,500,0
1000,0.75,0.1,"Oracle-GMM",0.5,0.142,0.858,500,0
1000,0.75,0.1,"Oracle-GMM",1,0.166,0.834,500,0
1000,0.75,0.1,"Full-GMM",-1,0.07,0.93,500,0
1000,0.75,0.1,"Full-GMM",-0.5,0.064,0.936,500,0
1000,0.75,0.1,"Full-GMM",-0.25,0.07,0.93,500,0
1000,0.75,0.1,"Full-GMM",0.25,0.074,0.926,500,0
1000,0.75,0.1,"Full-GMM",0.5,0.096,0.904,500,0
1000,0.75,0.1,"Full-GMM",1,0.122,0.878,500,0
1000,0.75,0.1,"DML-IVQR-BC",-1,0.102,0.898,500,0
1000,0.75,0.1,"DML-IVQR-BC",-0.5,0.09,0.91,500,0
1000,0.75,0.1,"DML-IVQR-BC",-0.25,0.08,0.92,500,0
1000,0.75,0.1,"DML-IVQR-BC",0.25,0.068,0.932,500,0
1000,0.75,0.1,"DML-IVQR-BC",0.5,0.1,0.9,500,0
1000,0.75,0.1,"DML-IVQR-BC",1,0.118,0.882,500,0
1000,0.9,1,"Oracle-GMM",-1,0.972,0.028,500,0
1000,0.9,1,"Oracle-GMM",-0.5,0.748,0.252,500,0
1000,0.9,1,"Oracle-GMM",-0.25,0.322,0.678,500,0
1000,0.9,1,"Oracle-GMM",0.25,0.928,0.072,500,0
1000,0.9,1,"Oracle-GMM",0.5,1,0,500,0
1000,0.9,1,"Oracle-GMM",1,1,0,500,0
1000,0.9,1,"Full-GMM",-1,0.544,0.456,500,0
1000,0.9,1,"Full-GMM",-0.5,0.112,0.888,500,0
1000,0.9,1,"Full-GMM",-0.25,0.114,0.886,500,0
1000,0.9,1,"Full-GMM",0.25,0.84,0.16,500,0
1000,0.9,1,"Full-GMM",0.5,0.982,0.018,500,0
1000,0.9,1,"Full-GMM",1,1,0,500,0
1000,0.9,1,"DML-IVQR-BC",-1,0.99,0.01,500,0
1000,0.9,1,"DML-IVQR-BC",-0.5,0.66,0.34,500,0
1000,0.9,1,"DML-IVQR-BC",-0.25,0.128,0.872,500,0
1000,0.9,1,"DML-IVQR-BC",0.25,0.996,0.004,500,0
1000,0.9,1,"DML-IVQR-BC",0.5,1,0,500,0
1000,0.9,1,"DML-IVQR-BC",1,1,0,500,0
1000,0.9,0.5,"Oracle-GMM",-1,0.426,0.574,500,0
1000,0.9,0.5,"Oracle-GMM",-0.5,0.228,0.772,500,0
1000,0.9,0.5,"Oracle-GMM",-0.25,0.07,0.93,500,0
1000,0.9,0.5,"Oracle-GMM",0.25,0.44,0.56,500,0
1000,0.9,0.5,"Oracle-GMM",0.5,0.844,0.156,500,0
1000,0.9,0.5,"Oracle-GMM",1,0.998,0.002,500,0
1000,0.9,0.5,"Full-GMM",-1,0.172,0.828,500,0
1000,0.9,0.5,"Full-GMM",-0.5,0.056,0.944,500,0
1000,0.9,0.5,"Full-GMM",-0.25,0.074,0.926,500,0
1000,0.9,0.5,"Full-GMM",0.25,0.4,0.6,500,0
1000,0.9,0.5,"Full-GMM",0.5,0.672,0.328,500,0
1000,0.9,0.5,"Full-GMM",1,0.936,0.064,500,0
1000,0.9,0.5,"DML-IVQR-BC",-1,0.578,0.422,500,0
1000,0.9,0.5,"DML-IVQR-BC",-0.5,0.224,0.776,500,0
1000,0.9,0.5,"DML-IVQR-BC",-0.25,0.07,0.93,500,0
1000,0.9,0.5,"DML-IVQR-BC",0.25,0.616,0.384,500,0
1000,0.9,0.5,"DML-IVQR-BC",0.5,0.9,0.1,500,0
1000,0.9,0.5,"DML-IVQR-BC",1,0.996,0.004,500,0
1000,0.9,0.25,"Oracle-GMM",-1,0.144,0.856,500,0
1000,0.9,0.25,"Oracle-GMM",-0.5,0.086,0.914,500,0
1000,0.9,0.25,"Oracle-GMM",-0.25,0.052,0.948,500,0
1000,0.9,0.25,"Oracle-GMM",0.25,0.166,0.834,500,0
1000,0.9,0.25,"Oracle-GMM",0.5,0.338,0.662,500,0
1000,0.9,0.25,"Oracle-GMM",1,0.558,0.442,500,0
1000,0.9,0.25,"Full-GMM",-1,0.066,0.934,500,0
1000,0.9,0.25,"Full-GMM",-0.5,0.05,0.95,500,0
1000,0.9,0.25,"Full-GMM",-0.25,0.05,0.95,500,0
1000,0.9,0.25,"Full-GMM",0.25,0.126,0.874,500,0
1000,0.9,0.25,"Full-GMM",0.5,0.258,0.742,500,0
1000,0.9,0.25,"Full-GMM",1,0.416,0.584,500,0
1000,0.9,0.25,"DML-IVQR-BC",-1,0.208,0.792,500,0
1000,0.9,0.25,"DML-IVQR-BC",-0.5,0.126,0.874,500,0
1000,0.9,0.25,"DML-IVQR-BC",-0.25,0.062,0.938,500,0
1000,0.9,0.25,"DML-IVQR-BC",0.25,0.194,0.806,500,0
1000,0.9,0.25,"DML-IVQR-BC",0.5,0.306,0.694,500,0
1000,0.9,0.25,"DML-IVQR-BC",1,0.49,0.51,500,0
1000,0.9,0.1,"Oracle-GMM",-1,0.08,0.92,500,0
1000,0.9,0.1,"Oracle-GMM",-0.5,0.062,0.938,500,0
1000,0.9,0.1,"Oracle-GMM",-0.25,0.038,0.962,500,0
1000,0.9,0.1,"Oracle-GMM",0.25,0.092,0.908,500,0
1000,0.9,0.1,"Oracle-GMM",0.5,0.096,0.904,500,0
1000,0.9,0.1,"Oracle-GMM",1,0.144,0.856,500,0
1000,0.9,0.1,"Full-GMM",-1,0.052,0.948,500,0
1000,0.9,0.1,"Full-GMM",-0.5,0.034,0.966,500,0
1000,0.9,0.1,"Full-GMM",-0.25,0.042,0.958,500,0
1000,0.9,0.1,"Full-GMM",0.25,0.066,0.934,500,0
1000,0.9,0.1,"Full-GMM",0.5,0.06,0.94,500,0
1000,0.9,0.1,"Full-GMM",1,0.088,0.912,500,0
1000,0.9,0.1,"DML-IVQR-BC",-1,0.096,0.904,500,0
1000,0.9,0.1,"DML-IVQR-BC",-0.5,0.064,0.936,500,0
1000,0.9,0.1,"DML-IVQR-BC",-0.25,0.054,0.946,500,0
1000,0.9,0.1,"DML-IVQR-BC",0.25,0.082,0.918,500,0
1000,0.9,0.1,"DML-IVQR-BC",0.5,0.058,0.942,500,0
1000,0.9,0.1,"DML-IVQR-BC",1,0.1,0.9,500,0
